DIGITALE
Descrizione
APPLE MACBOOK PRO 16 M4 MAX RAM 64GB-2TB
EIZO MONITOR CG 27"
EIZO PIASTRA PER  MONITOR
CAVO DVI 10 MT.
BORSA SEAPORT KIT
APPLE IPAD PRO 12.9 WIFI
APPLE SUPPORTO PER IPAD
BELKIN DOCK USB  THUNDERBOLT 4
CAVO USB-C COBRA 10 MT.
TETHERTOOLS CAVO USB-C A USB-C   5 MT.
MANFROTTO TREPPIEDE CON TESTA 3 VIE

CARRELLI
Descrizione
CARRELLO DA STUDIO
CARRELLO FOLD-IT
FILMCART SMARTONE
FILMCART SUPPORTO MONITOR
FILMCART SMARTONE XL
MAGLINER JUNIOR
MAGLINER SENIOR
TENDA PER MAGLINER
