PROFOTO GENERATORI
Descrizione
PROFOTO PRO-11 GENERATORE 2400W. KIT
PROFOTO AIR REMOTE TTL-N PER NIKON
PROFOTO AIR REMOTE TTL-C PER CANON

PROFOTO TORCE
Descrizione
PROFOTO TORCIA  PRO-HEAD 2400W
PROFOTO PROLUNGA CAVO TORCIA
PROFOTO TORCIA BITUBO 9600W.
PROFOTO TORCIA MATITA 2400W.
PROFOTO RING LIGHT
PROFOTO STICKLIGHT 2400W

PROFOTO MONOTORCIA
Descrizione
PROFOTO MONOTORCIA D1 STUDIO  1000W AIR
PROFOTO MONOTORCIA D1 AIR 500W
PROFOTO MONOTORCIA D2 STUDIO 1000W AIR
PROFOTO MONOTORCIA D2 AIR 500W
PROFOTO MONOTORCIA D3 1250W

PROFOTO OCTA
Descrizione
PROFOTO OCTA 3 (90 CM)
PROFOTO OCTA 5 (150 CM)
PROFOTO OCTA 7 (210 CM)
PROFOTO GRIGLIA X OCTA 3
PROFOTO GRIGLIA X OCTA 5
PROFOTO GRIGLIA X OCTA 7
PROFOTO ELINCHROM OCTA ADATTATO PROFOTO

PROFOTO SOFTBOX
Descrizione
PROFOTO SOFTBOX XXS 1x1.3' (30X40 cm.)
PROFOTO SOFTBOX XS 1.3x2' (40X60 cm.)
PROFOTO SOFTBOX SMALL 2x3' (60x80 cm.)
PROFOTO SOFTBOX MEDIO 3x4' (90x120 cm.)
PROFOTO SOFTBOX LARGE 6X4' (120X180 cm.)
PROFOTO SOFTBOX STRIP SMALL 1x3' (30x90 cm.)
PROFOTO SOFTBOX STRIP MEDIO 1x4' (30x120 cm.)
PROFOTO SOFTBOX STRIP LARGE 1x6' (30x180 cm.)
PROFOTO GRIGLIA PER SOFTBOX XXS 1x1,3 (30x40 cm.)
PROFOTO GRIGLIA PER SOFTBOX XS 1.3x2' (40X60 cm.)
PROFOTO GRIGLIA PER SOFTBOX SMALL 2x3' (60x80 cm.)
PROFOTO GRIGLIA PER SOFTBOX MEDIO 3x4' (90x120 cm.)
PROFOTO GRIGLIA PER SOFTBOX LARGE 6X4'  (120X180 cm.)
PROFOTO GRIGLIA PER SOFTBOX STRI SMALL 1x3' (30x90 cm.)
PROFOTO GRIGLIA PER SOFTBOX STRIP MEDIO 1x4' (30x120 cm.)
PROFOTO GRIGLIA PER SOFTBOX STRIP LARGE 1x6' (30x180 cm.)

PROFOTO ACCESSORI
Descrizione
PROFOTO BEAUTY DISH ARGENTO
PROFOTO BEAUTY DISH BIANCO
PROFOTO GRIGLIA PER BEAUTY DISH
PROFOTO TELO DIFFUSORE PER BEAUTY DISH
PROFOTO HARDBOX
PROFOTO SPOT FRESNEL
PROFOTO FRESNEL SMALL
PROFOTO SPOT SMALL
PROFOTO ZOOM SPOT 
PROFOTO CONO
PROFOTO PROGLOBE
PROFOTO SET 3 GRIGLIE PARABOLA STANDARD
PROFOTO LANTERNA
PROFOTO TELEZOOM
PROFOTO PROFOCUS CON OBBIET. DI PROIEZ. 1:2,8/15
PROFOTO ALETTE X PARABOLA STANDERD

PROFOTO OMBRELLI
Descrizione
PROFOTO OMBRELLO SHALLOW BIANCO S 85
PROFOTO OMBRELLO XL ARGENTO + DIFFUSORE
PROFOTO OMBRELLO XL BIANCO + DIFFUSORE
PHOTEK OMBRELLO 150 CM. CON DIFFUSORE
PHOTEK OMBRELLO 85 CM. CON DIFFUSORE
PHOTEK OMBRELLO 115 CM. CON DIFFUSORE

BRONCOLOR GENERATORI
Descrizione
BRONCOLOR GENERATORE GRAFIT A4
