MACCHINA DEL FUMO
Descrizione
SET CRLS 100 1X1MT DIFF. 0/1 CODOLO 28MM
SET CRLS 100 1X1MT DIFF. 3/4 CODOLO 28MM
LIGHT BRIDGE SET CRLS C-GO
LIGHT BRIDGE SET CRLS C-DRIVE
"MACCHINA DEL FUMO A BATTERIA ANTARI MB-1 CON: 3 BATTERIE,"
MACCHINA DEL FUMO HAZER FOG 500 FT PRO (NEBBIA)
MACCHINA DEL FUMO ROSCO V-HAZER FOG
MACCHINA DEL FUMO INCENSO
LIQUIDO FUMO ROSCO  19€/LT A CONSUNTIVO
LIQUIDO FUMO HAZER  26€/LT A CONSUNTIVO
MACCHINA DEL FUMO MARTIN JEM ZR
MACCHINA DEL FUMO PROEL DRAGO HEAVY 1500
MACCHINA DEL FUMO ROSCO 1700
MACCHINA DEL FUMO SCOTTY 2 A BATTERIA 400W 12V
MACCHINA DEL FUMO SGM VARISMOKE 2000W

MACCHINA DELLA NEVE
Descrizione
"MACCHINA DELLA NEVE A SCHIUMA, SP. 16A"
LIQUIDO DELLA NEVE  € 15/LT A CONSUNTIVO

MACCHINA DELLE BOLLE
Descrizione
MACCHINA DELLE BOLLE
LIQUIDO DELLE BOLLE

VENTILATORI
Descrizione
POMPA IDRAULICA 350 LT/MIN, SP 16A MONO
POMPA IDRAULICA 800 LT/ MIN, SARACINESCA
POMPA IDRAULICA MANUALE
RESISTENZA ELETTRICA, SP 16A MONO CEE
VENTILATORE DIAMETRO 25CM CON POTENZ.
VENTILATORE DIAMETRO 40CM.
VENTILATORE DIAMETRO 50CM CON POTENZ.
VENTILATORE DA TERRA ZEPHIR  70 / 90 CM.
VENTILATORE A BATTERIA AKKU BGA45
VENTILATORE A BATTERIA MAKITA 182 LXT KIT

RISCALDATORI-STUFE
Descrizione
RISCALDATORE ELETTRICO
STUFA GAS FUNGO
RISCALDATORE A GAS
RISCALDATORE INFRAROSSI 

SCALE
Descrizione
SCALA PICCOLA A 2 / 3 GRADINI 0,50MT
SCALA ALLUMINIO 4 GRADINI PORTATA MAX 150KG
SCALA ALLUMINIO 6 GRADINI 6 MT TELESCOPICA
SCALA ALLUMINIO 7 GRADINI EXTRA LARGE 12 CM
SCALA ALLUMINIO 9 GRADINI  fino a 6.84 mt
SCALA A LIBRO 2 MT
SCALA A PONTE MULTIFUNZIONE
SCALA CON RINGHIERA E PIATTAFORMA DI LAV
SCALA A SFILO GRANDE

CARRELLI
Descrizione
CARRELLO A 2 RUOTE IN ALLUMINIO
CARRELLO 3 PIANI C/RUOTE
CARRELLO A 4 RUOTE ESTENSIBILE CON RUOTE
CARRELLO TRASPORTO A 4 RUOTE GOMMATE CON PIANALE
CARRELLO DA STUDIO
CARRELLO FOLD-IT
FILMCART SMARTONE
FILMCART SUPPORTO MONITOR
FILMCART SMARTONE XL
MAGLINER JUNIOR
MAGLINER SENIOR
TENDA PER MAGLINER

PEDANE PALCHI
Descrizione
PALCO 2X1MT ALTEZZA 100 CM
PALCO 2X1MT ALTEZZA 20 CM
PALCO 2X1MT ALTEZZA 40 CM
PALCO 2X1MT ALTEZZA 60 CM
PALCO 2X1MT ALTEZZA 80 CM
PALCO 2X1 MT. REGOLABILE
COPPIE DI RAMPE DA CARICO

TRAMPOLINO
TRAMPOLINO  ELASTICO 3 MT. DIAM.
TRAMPOLINO ELASTICO 80CM. DIAM.

SPECCHIO TRUCCO
Descrizione
SPECCHIO ORIENTABILE 173X55CM
POSTAZIONE SPECCHIO TRUCCO TROLLEY
POSTAZIONE SPECCHIO TRUCCO TROLLEY INCL. SEDIA ALTA
SPECCHIO TRUCCO CON LAMPADINE

SPECCHI STILL LIFE
Descrizione
SET SPECCHI STILL LIFE

FERRO DA STIRO E STIRELLA
Descrizione
ASSE DA STIRO
FERRO DA STIRO A VAPORE
STIRELLA PROFESSIONALE
MINI STIRELLA XSTEAM

GAZEBO
Descrizione
GAZEBO BIANCO 3X3 MT.
GAZEBO NERO 3X3 MT.
OMBRELLONE REGISTA
OMBRELLO PIOGGIA
TELO PIOGGIA 3X4 MT.

SEDIE REGISTA
Descrizione
SEDIA NERA PIEGHEVOLE
SEDIA REGISTA
SEDIA REGISTA ALTA

WI-FI
Descrizione
ROUTER WI-FI 6  5G
DRESSING ROOM

GRUPPI ELETTROGENI
Descrizione
HONDA GRUPPO ELETTROGENO EX 10KW HONDA ** 63M **
HONDA GRUPPO ELETTROGENO 2 KW  EU22I 2 PRESE SHUKO
HONDA GRUPPO ELETTROGENO 3 KW EU30IS
HONDA GRUPPO ELETTROGENO GE 40 VSX**63T**
GRUPPO ELETTROGENO 50000W, DIESEL, 125 T
HONDA GRUPPO ELETTR. HONDA 6KW EU65 IS**32M**
HONDA GRUPPO ELETTROGENO 7KW EU70 IS **  32M **
HONDA CAVO DI COLLEGAMENTO PARALL.GRUPPO 2KW

ACCESSORI GRUPPI ELETTROGENI
Descrizione
HONDA CAVO DI COLLEGAMENTO PARALL.GRUPPO 3KW
HONDA CAVO DI COLLEGAMENTO PARALL.GRUPPO 7KW

VARIE DI PRODUZIONE
Descrizione
ACCAPPATOIO + CIABATTINE
COOL BOX
PORTACENERE ALTO
CESTINO SPAZZATURA
TERADEK VIDIU GO DELUXE INCL. CORE STREAMING ON OUR PLATFORM
SCALDAVIVANDE  TRISTAR BP 2979 INOX
TAPPETTINO PALESTRA
TAPPETO PALESTRA SALTO IN ALTO 2X2 MT H. 40CM.
SEPARE' NERO 195X130 CM.
SEPARE' PIEGHEVOLE BEIGE 262x180 CM
TAVOLO PIEGHEVOLE 180 x 80
TOVAGLIA COPERTURA TAVOLO

ASCIUGACAPELLI
Descrizione
ASCIUGACAPELLI IMETEC P11 2100 BLACK
ASCIUGACAPELLI ROWENTA POWERLINE+

CONDIZIONATORI E DEUMIDIFICATORI
Descrizione
CONDIZIONATORE /  PINGUINO
DEUMIDIFICATORE DE LONGHI DEX 16F

VALIGIE
Descrizione
ZAINO FOTOGRAFICO
Descrizione
SACCA GRUCCE (50 PZ.)
STENDER  SVELTO CROMATO PORTA APPENDINI H118-178 C/CRUOTE DIAM.80
STAND APPENDIABITI
